RESTAURANT;DIRECCION;NOMBRE_PLATO;DESCRIPCION_PLATO
La Panera Rosa;ISIDORA GOYENECHEA 3275 DEPTO. #2 COMUNA LAS CONDES;Medialunas;2 unidades
Tea Connection Salads & Sándwiches;Isidora Goyenechea 3185;Coca Cola Sin Azucar 350ml;Coca cola sin azucar 350ml
Del Valle Gourmet Comida Venezolana;amunategui 75 local 02 santiago region metropolitana chile;Truto Asado;Truto asado + 1 acompañamiento + bebida de lata 220ml.
Mestiere;av vitacura 9013;Croissant Desayuno;Queso fundido, huevos revueltos y tocino en láminas.
Empanadas Tomas Moro;IV Centenario 921, Las Condes, Región Metropolitana, Chile;Coca-Cola Original 1.5 L;Bebida Coca Cola
Café Diario;Encomendero 200 local 3 las condes;Caja Desayuno Continental para Compartir;2 Café de grano, 2 jugo de naranja recién exprimido, 2 fruta, panera con tostadas de masa madre, croissants, pan de chocolate, roll de chocolate, 2 mantequilla, 2 mermelada, jamón de pavo acaramelado, queso, palta y 2 postre de cheesecake de berries.
Quererte Cafetería;Cristobal Colón 5080, Las Condes, Santiago.;Pizza Peperoni;Salsa de tomate + queso mozzarella + pepperoni
Juan Valdez Café;Av. Providencia 1985, Providencia;Sprite Zero;Sprite zero.
Jack The Juicer;Av. Providencia 2392,Providencia, RegiónMetropolitana;Chocolate Caliente;Chocolate Caliente Italiano (350ml)
Café Melba;Av. Pdte. Riesco 5435 , Las Condes, Región Metropolitana;Misiones de Rengo Sauvignon Blanc 187cc;Botella individual de vino blanco sauvignon blanc bien helado.
Gras;Av nueva de lyon 12;Baguette + Love Lemon + Alfajor;Menú $4.990 1 Baguette de 3 ingredientes, 1 Love Lemon 500 ml y un Alfajor Artesanal.
Paradiso;avenida providencia 2238;Galletas de Navidad;200 grs de galletas navideñas .
Café Bistro 1933;Fidel Oteiza 1933 Providencia, Región Metropolitana;Desayuno Happy Box Celebration;1sándwich gourmet, 1 jugo, 1crema de avellana 350gr, 1muffin, 1taza de café, 1barra de chocolate, bombones, bolsa de te.
La Areperia Chile;eyzaguirre 1016;Plato Navideño;Hallaca, pernil, pan de jamon y ensalada de gallina.
Daniel´s Bakery & Café;Celerino Pereira 1530, Ñuñoa, Región Metropolitana;Galletón Avena Pasas;Galleton sin azucar de avena con pasas
Wonderland Café;Rosal 361, Santiago, Región Metropolitana;Capuccino;Cant: 235 ml (un shot de café + leche)café de especialidad.
Empanadas El Matiz;Almirante Latorre 349, Santiago, Región Metropolitana;Combo 4;2 Empanadas de carne mechada con queso, bebida nacional de 350 ml.
Emporio La Rosa;Aguas Claras 1700, locales 3 y 4, La Reina.;PorVenir con Gas 330 ml;Agua
Green Eat;Av. Presidente Kennedy 5413, local 367-A;Sprite Sin Azúcar 350 ml;Gaseosas
La Punta;Los Abedules 3016, Vitacura, Región Metropolitana, Chile;Galletas Nat Crackers Pistacho;Nat crackers pistacho y romero.
Dunkin';AV. PROVIDENCIA 2098 L.10-14, PROVIDENCIA;Café en Grano Molido Dark Roast;Café Dunkin' molido dark roast, 454 gramos.
Subway;Metro tobalaba , al lado de la boleteria;Galleta Doble Chocolate;Galleta de chocolate con chips de chocolate.
Kiosko Roca Centro;Huerfanos 1391;Leche con Plátano;Leche con Plátano (vaso 300cc)
Panadería Kukin Masa Madre;Gerónimo de Alderete 1643, Vitacura, Región Metropolitana, Chile;Kombuchacha 500 ml;Jugo
The Breakfast;Av. Manquehue Sur 1231, local 1, Las Condes, Región Metropolitana, Chile;Desayuno para Regalar;Incluye: prensado jamón queso, frutas, yogurt con granola, galleta artesanal, café o té, caja de cartón envuelta en cinta de regalo.
Fork;El Bosque Nte 83, Las Condes, Región Metropolitana;Jugo Naranja Maracuyá Bless, 300 Ml;Jugo prensado de maracuyá, naranja, piña y manzana. mezcla tropical y cítrica. comparte lo bueno y lo malo, siempre hay tiempo para los de siempre.
WildRoots Salad Bar& Co;"O'connell 300, Las Condes, Región Metropolitana, Local
3";Mantequilla de Almendras;100% Almendras tostadas.  para consumir con fruta, pan, panqueques, en pasteles, en salsas y aliños, con batidos de proteína y mas.  200gms.
Délice;Antonio Varas 376, Providencia, Región Metropolitana, Chile;Quiche Familiar;Quiche de sabores variados, ingredientes y presentación a eleccin, para 4 a 6 personas
Páramo The Cake;Huérfanos 2418, Santiago, Región Metropolitana, Chile;Cheesecake Choco-nutella;Cheesecake de chocolate belga al 54% decorado con nutella y medio ferrero .
Etienne Marcel Las Condes;Asturias 350, Las Condes, Chile;Jugo Afe Pera;Jugo afe pera.
oliva Sano;San antonio 389 local 3 santiago;Leche Caliente 10 oz;Leche caliente 10 oz.
La Mechada Nacional;"Nueva Providencia 2236
Paseo Las Palmas";Mecha-Burrito Chileno;Nuevo Mecha-Burrito Chileno relleno de puro sabor nacional, con ingredientes frescos y de calidad: Tortilla, Queso Fundido, Cebolla Morada, Ají Verde y Carne Mechada
Juan Maestro;Av. Portugal 52 Santiago Región Metropolitana;Bebida De 1,5 Litros;Bebida de 1,5 litros
Madison Coffee;San Pío X 2449, Providencia, Región Metropolitana;Jugo Frambuesa;Pulpa natural
Monna;Alonso de Córdova 3781, Vitacura, Chile;Coca-Cola Light 350 ml;Bebida
Q riko;san francisco 206 santiago region metropolitana chile;Queso de Mano de 500 Grs;Queso de mano de 500 grs.
Tortas Amelia;blaise cendrars 7147 Vitacura;Volcan de Manjar (9 Unidades);Volcanes rellenos de manjar de campo cubiertos con chocolate.
Tommy Beans;Agustinas 1115, Santiago, Región Metropolitana, Chile;Bebida 1,5 Lts;Bebida 1,5 lts
Molleja E' Tequeño;Coquimbo 1189, Santiago, Región Metropolitana, Chile;Maltín Polar 355 ml;Bebida
Etienne Marcel Vitacura;Calle Luis Pasteur 5441, Vitacura, Chile;Jugo Afe Pera;Jugo afe pera.
Empanadas 4K;Cruz 1501, Independencia, Chile;Arroz con Leche;Arroz con leche.
Pronto Copec;Av. Vitacura 5579, Vitacura, Region Metropolitana;Vinamar Espuman Charmat Brut;Vinamar espuman charmat brut
Pasteleria Biella;Príncipe de Gales 6596 La Reina Región Metropolitana;Panera Biella;Paila de huevos revueltos mas tostadas con palta, dos medias lunas, dos vasos de jugo de naranja y dos cafe o te .
Starbucks;Av Vitacura 2872 Las Condes Región Metropolitana local 102;Antojo Vegano;Barrita con mantequilla de maní, avena sin gluten, quinoa pop, panela y 55% cacao
Filippo;Irarrazaval 3502;Pote Helado 1 Litro;Pote helado 1 litro , 3 sabores a elección, incluye 3 barquillos.
Panier;Vicuña Mackenna 802, Ñuñoa, Región Metropolitana, Local 1;Frescolita Original 355 ml;Bebida
Caffé Di Luca;Mardoqueo Fernández 118, Providencia, Región Metropolitana;Agua Con Frutas Guallarauco;Agua con frutas guallarauco
Kwa Food;Chiloé 1142 Santiago, Región Metropolitana;Frescolita Original 355 ml;Bebida
Etienne Marcel Providencia;San Pío X 2539, Providencia, Chile;Jugo Afe Pera;Jugo afe pera.
Sathiri;roman díaz 46;Kombucha Berries 330ml;Bebida probiótica a base de berries.
Rincón Venezolano;Av. Sta. Rosa 36 Santiago Región Metropolitana;Dinamico;Sándwich de carne casera o churrasco tomate, lechuga, palta, chucrut americano y mayo casera
Pancitosyu;Seminario 306, Providencia, Región Metropolitana, Chile;Brownie Chispas Blancas;Brownies cubiertos de ganache de chocolate oscuro y topping de chispas blancas.
Inside Deli By Tea Connection;Isidora Goyenechea 3185, Las Condes;Agua Mineral 500 ml;Agua con o sin gas.
El Rey del Completo;Enrique Mac Iver 263, Santiago, Región Metropolitana;Escudo Silver 350 ml;Cerveza
Voilá;Sta Isabel 962, Providencia, Región Metropolitana, Chile;Pizza Voilà Individual;Deliciosa pizza artesanal  de 21 cms, con jamón serrano, queso azúl y champiñón.
De pura madre;Gral. John O'brien 3111, Vitacura, Región Metropolitana, Chile;Fanta Naranja 350 ml;Bebida
Montpellier Cafe;Av. Larrain 5941, La Reina, Región Metropolitana, Chile;Americano;Café espresso y agua.
Panaderia La Madre;Jean Mermoz 18, Las Condes , Región Metropolitana, Chile;Galletón;Galletón con chips de chocolate.
La Galera Chile;Gral. Mackenna 1420, Santiago, Región Metropolitana, Chile;Pizza Individual Vegetariana+ Lata Pepsi;Masa crujiente con los clásicos ingredientes mozzarella y vegetales, exquisito sabor y textura.
Coppelia;Avenida Luis Thayer Ojeda 130, Providencia;Agua Mineral 600 cc;Agua en botella 600 ml con o sin gas.
Get It Santiago;vitacura 2909 las condes region metropolitana;Coca-Cola Light 350 ml;Gaseosas
Que Tentacion Cafe;Bellavista 884, Santiago, Providencia, Región Metropolitana, Chile;Cuatro (4) Estaciones;Cuatro ingredientes y 2 salsas a tu elección , viene con crema chantilly.
La Chestari;Sta. María 6904, Vitacura, Región Metropolitana, Chile;Focaccia Aceitunas Negras;Aceitunas negras, sal, aceite de oliva, pimienta, romero.
Almacén de Sabores;Embajador Doussinague 1760 Vitacura, Región Metropolitana;Mermelada Artesanal 550 gr;Elaboradas por manos artesanas .
Cafetaleros;Av. Providencia 183, Providencia, Región Metropolitana;Churrasco Barros Jarpa;Churrasco Barros Jarpa
Mr. Keto;Av. Larrain 6276, La Reina, Región Metropolitana, Chile;Icebullet Mocca Frambuesa;Preparado con café en grano recién molido, leche de almendras, aceite de coco, hielo frappe, crema chantilly, chocolate y frambuesa. 500ml.
Cafe 56;San Isidro 319, Santiago, Región Metropolitana, Chile;Combo Mechada Campestre;Pan con carne mechada, queso crema, rúcula, huevo frito, papas rusticas al horno, bebida de temporada.
Get It;nueva de lyon 135 providencia;Torta Fría Chocolate 190 G;Deliciosa torta fría hecha con avellanas.
COFFEE CORNER;Los Militares 4777, Las Condes, Región Metropolitana, Chile;Sprite Zero 350 ml;Bebida
Coffe & Crepes Santiago;Amunátegui 271;Benedictino sin Gas 500 ml;Aguas.
Frosty Shakes;Paseo bulnes 165;Vaso Frosty 16 Onz;Vaso frosty de vidrio templado con bombilla y tapa reutilizable eco-friendly.
Mote con Huesillos Cophie;Gral. de La Lastra 1147, Independencia, Región Metropolitana, Chile;Mote;Mote .
Granos de Cordova;Alonso de Córdova 3894 Local 1, Vitacura, Región Metropolitana, Chile;Helados 1/2 l;Helados artesanales .
La Mil Hoja;Vitacura 3893;Lasaña Vegetariana Horneada;Lasaga vegetaría horneada berenjena, tomate y champiñón.
Wenappetit Encomenderos;Encomenderos 113, Las Condes, Región Metropolitana, Chile;Cafe A Tu Gusto;Nos aliamos a la italiana hausbrant para entregarte el verdadero sabor a café. tamaño mediano
McDonald's Postre;hernando de aguirre 19 providencia;Agua Mineral;Agua mineral sin gas de 600 ml.
Hamburguesa Parrillera;San Francisco 206, Santiago, Chile;Jugo Papelón Limón 350 ml;Jugo papelón de la casa con sabor a limón, 350 ml.
Los Caponelli Restorante Italiano;nueva costanera 3333 vitacura region metropolitana chile;Coca-Cola Light 350ml;Gaseosa
La Tavola Di Manolo;Avenida Apoquindo 5004, Las Condes, Chile;Pizza Olivia;Salsa de tomate, queso mozzarella, aceitunas y jamon de pierna.
Cafetería Between;Encomenderos 275, Las Condes, Región Metropolitana, Chile;Kunstmann Bock 330 ml;Cerveza
Pablitos Burguer;San Pablo 1951, Santiago, Región Metropolitana, Chile;Hallacas Venezolanas;Cebolla,pimentos, aceituna, pasas, carne, pollo, cochino, guiso.
Cafe Jardin Providencia;Avenida Pedro de Valdivia 1974, Providencia, Chile;Combo 2;Hamburguesa con pan de papa, pechuga apanada, salsa agripicante, queso cheddar fundido, tocino, lechuga, salsa especial jardín, acompañada de papas francesas y bebida a elegir.
Cafe Vita Pizzocas;Av. Luis Thayer Ojeda 95, 7510022 Providencia, Región Metropolitana, Chile;Coca-Cola Sin Azúcar 350 ml;Bebida
The Work Wings;San Francisco 206, Santiago, Región Metropolitana, Chile;Sprite 350 ml;Bebida
Crema y Nata;José Manuel Infante 201, Providencia, Chile;RedBull Original 250 ml;Energética
D Burger;Av. Pedro de Valdivia 1974, 7511284 Providencia, Región Metropolitana, Chile;Benedictino Sin Gas 500 ml;Agua
Woody Coffee And Bakery;Av. Pedro de Valdivia 2885, Ñuñoa, Chile;Empanada de Queso;Empanada de queso en masa de hoja.
Panino Lab;General Holley 76, Providencia, Chile;Vital Sin Gas 600 ml;Agua
Café Precolombino;Bandera 361, Santiago, 8320298, Región Metropolitana, Chile;Kem Piña 350 Ml;Lata 350 ml
Pilaos;AV INDEPENDENCIA 640;Frescolita Original 355 ml;Bebida
The Pizza Factory;Cerro Colorado 5295;De la casa con camarones + Bebida a elección;Lechugas frescas, fondos de alcachofas, palta, tomates, cebolla morada y aceitunas y Camarones. Acompañada de una suave salsa de mostaza miel + bebida a elección
La Ruffina;Valenzuela Castillo 1260, Providencia;Sprite Cero 350 ml;Bebida
Nicecream;San Pío X 2387, Providencia, Región Metropolitana, Chile;Promo #1 - 2 Brownies Clásicos + Helado;Helado de medio litro (sabor a elección) + 2 brownies clásicos.
Mister Fish;General flores 39;Limonada Albahaca;Limonada de albahaca
Romaria Pizzería;Av Vitacura 3396, Vitacura;Parmesano Rallado 100 Grs;Queso parmesano argentino
El Brasero;Gral Francisco Barceló 12, Local 5, Las Condes;Limon Soda 1.5 l;Bebida.
Buffalo Waffles;Avenida Holanda 073, Santiago de Chile;Sprite 350 ml;Bebida
Dominó;Hernando de Aguirre 35, Providencia;Jugo Chirimoya;Jugo chirimoya
Palacio Danubio Azul;Reyes Lavalle 3240;Combo para 2;1 empanada camarón pda, 2 arroz chaufán pda y 2 bebidas 350 ml a elección.
Italita;Nueva Los Leones, 144;Combo Super Papa;2 pizzas parrilleras precocidas selladas al vacio y refrigeradas a elección + porción de palitos de ajo mozzarella + 4 botellas de cerveza stella artois 355 ml o vino malco merlot o cabernet sauvignon
Pronto Sándwich;Av. Manuel Montt 1349;Porción de Nugget de Pollo;Porción de nugget de pollo.
Get the wok.;Avenida Los Leones 22, Providencia, Chile;Kapo Naranja;La bebida de chile, sabor naranja
Grido;Av. Providencia 2358, Providencia, Chile;Display 4 Barquilloos;4 barquillos .
Oro y Carbón;Bellavista 0894 - Providencia;Bebida 1,5 Litros;Bebida 1,5 litros
Carl's Jr.;Avenida Vitacura 2751, Las Condes, Chile;Sprite Botella 1.5 Lt;Sprite botella 1.5 lt
Chicken Factory;Nueva Costanera 3114 Vitacura;Salsas.;Elige tu salsa favorita
Pizza Hut;Guardia vieja 105;Bebida Lata 350 Ml;Refresca tu momento con una bebida
Soul of India;Av Vitacura 4111, Vitacura;Espumante Amaranta Brut;Espumante Amaranta Brut 750 ml
La Rambla;Av. Tabancura 1344, Vitacura;Ensalada Salmón;Mix de lechuga, hojas de rucula, esparragados, aceituna negra, alcaparras, queso crema y salmón ahumado.
Labibe;Flandes 1828;Sprite Original 350ml;Sprite original 350ml
Ay mi madre;Avenida Providencia 1713, Providencia;Austral Calafate 330 ml;Cerveza
Mei;7203, Cristóbal Colón, Las Condes, Región Metropolitana;Pollo con Camarón;Pollo salteado con camarón.
La Minguita;La Capitania 70, Local 2, Las Condes;Pastel Choclo 400 G;Choclo, leche, albahaca, mantequilla, vacuno, cebolla, ajo, aceite, pollo, aceituna, orégano y sal de mar de Cahuil
Isabella Pizzas Ricas;Emilio Vaisse 592, Providencia;Nordic Mist Agua Tónica 350 ml;Tónica
Alemán Experto;Pedro de Valdivia 1683, Providencia;Brownie con Helado;Brownie con helado de vainilla. Calentar en microondas 30 segundos.
The Chilean;Av. Italia 1484, Providencia;Sliders;2 Cheeseburger con chileanmayo tamaño junior. ideal para los kid.
Sushi Ryge;Manuel Montt 1221, Providencia;Cuk Chocolate Blanco Maracuya Sin Azúcar;Cuk 140 gramos chocolate blanco maracuya sin azucar
La Fabbrica;Av Ossa 123, La Reina;Sprite -Zero Lata 350cc;Sprite -Zero Lata 350cc
P.F. Chang's;Isisdora Goyenechea 2940;Cerveza Stella;Botella cerverza stella artois 330
Pastas Nenetta;Los Leones 185 Providencia;Canada Dry Zero 350ml;Canada dry zero 350ml
Telepizza;Av. Providencia 1095, Providencia, Región Metropolitana;Bebida 1.5 Litros;Refresca el momento con una rica bebida
Fuente las Condes;Chesterton 7380 Las Condes, Chile;Helado Artesanal Merengue Lucuma;Helado artesanal merengue lucuma
Sanguchería Petrü;Jose Pedro Alessandri #18 Ñuñoa;As Egaña;Pan de hot dog con 100 grs de carne, cebolla caramelizada, huevo revuelto, papa hilo y nuestra apetecida mayo casera.
Autentiko French Tacos;0296 Santa Isabel - Providencia - Santiago;Cerveza Francesa 1664 Blanc;“Con sofisticados toques de cilantro y frutas cítricas”5°.
Sushimi;Irarrazaval 1998 Ñuñoa;Heineken Cero 330 ml;Cerveza
Arepas Food & Shop;Carlos Alvarado 7477, Local 9, Las Condes;Frescolita Original 355 ml;Bebida
La Casa Orgánica;IV Centenario 1045 las condes;Smoothie de la Casa Frutos Del Bosque;Libre de gluten, libre de lacteos, aplv. contiene bola de helado sabor frutos del bosque , fruta de la estación, leche vegetal, plátano y vitamina b.
Chung Hwa;Apoquindo 5280, Las Condes;Aji de Picante;Aji de picante.
Oceanika Sushi;Santa Rosa 298 Santiago;Vital Sin Gas 600 ml;Agua
Yiyi;Av Vitacura 3269;Sprite Zero 350 ml;Bebida
Chefs;Gilberto Fuenzalida 169 L 30 Las condes;Bebidas 500ml;Orange crush 500ml,kem piña 500l,limon soda 500ml,ginger ale 500ml,pap 500ml,.
Tung Fong Comida China;Barcelona 2076, Providencia, Región Metropolitana, Chile;Cristal Clásica 350 ml;Cerveza
Mr Kebab;LARRAIN 6741, LA REINA;Fanta Naranja 1.5 l;Bebida
Rock The Food;Vicuña Mackenna 830, Ñuñoa, Región Metropolitana;Palitos;Un par de palitos
Cinnabon;av andres bello 2447, local 5106, providencia;Pap Zero 350 ml;350 ml
Restaurant Amistad;Loreley 87 La Reina Región Metropolitana;Sopa Wantán Min;Sopa con tallarines  y empanada de wantán
El Toldo Azul;Isidora Goyenechea 3200 Las Condes Región Metropolitana;Cinnamon Roll;Delicioso rollo de canela para disfrutar solo o acompañado de tu helado favorito (1 unidad).
Rollin Sushi;Luis Beltran 1895 Ñuñoa;Franuí Chocolate de Leche;Frambuesas bañadas en chocolate con leche y blanco.
Fukai;EL COIGUE 3886, VITACURA;Red Bull Sugar Free 250ml;Lata de 250ml
Barbazul;Tobalaba 1155, Providencia;Ensalada Barbazul;Ensalada Lechuga hidropónica, berros, rúcula, aceitunas, aderezo de cilantro y escoge tu ingrediente principal.
Dubai Sushi;avenida cristobal colon 8669;Canada Dry Ginger Ale Light 310 ml;Bebida
La Perla Del Pacifico;Av. Kennedy 5413, Local, 372 A, Piso 1, Las Condes;Pepsi Light 1.5 l;Bebida
Mr. Jack;Av Presidente Kennedy 5413, Local 380, piso 2, Las Condes, Región Metropolitana;Canada Dry Agua Tónica 350 ml;Tónica
Parrilladas Mas y Mas;Ricardo Cumming 69, Santiago, Región;Camaron Chiten;Camaron chiten
Tamashi;Manuel Montt 1593, Providencia;Sprite 1.5 l;Bebida
Tony Roma´s;Avda. Kennedy 5413, Local 370, Las Condes;Menu Pasta Alfredo;Menu pasta alfredo
Waldo's;Nueva de Lyon 45, Local 7;Sol Original 330 ml;Cerveza
Chevere y Bakan;carlos ossandon 1635 la reina;Chicha Venezolana;Receta de la casa a base de pasta o arroz, leche, canela, azúcar.
La Huamantanga Fuente Peruana;Irarrazaval 3267;Cristal 0º 350 Cc;Cero alcohol°
Nori Sushi Ñuñoa;Rodrigo de Araya 3040 Ñuñoa Región Metropolitana;Ceviche Endiablado;Ceviche de pescado del día, cebolla morada, lechuga, camote glaseado, cancha serrana, bañado en salsa de rocoto.
La Sopería;GIRARDI 1413 PROVIDENCIA;Musaka Vegana;Capas de berenjenas asadas con pino de champiñones, gratinado con queso vegano.
Fuente Chilena;Apoquindo 3012, Las Condes;Manjar De Los Dioses;Manjar de los dioses
Wendy's;Encomenderos 300, Las Condes, Región Metropolitana;Duo Box Daves Sin Bebida;2 Hamburguesas daves + 2 papas fritas regulares + 4 empanadas
Ciudadano;SEMINARIO 400 PROVIDENCIA;Agua Mineral Sin Gas 350 Ml;Agua mineral sin gas 350 ml
Ciudad Vieja;Constitución 92 Providencia Región Metropolitana Chile;Porvenir Sin Gas 300ml;Botella / 300 ml
Mi li xuan;Alejandro Flemming 8999, las condes;Camarón Cebollín;Camarón salteado con cebollín, una porción
Cora Sushi;Victor manuel 1150;Coca-Cola Sin Azúcar 1.5 L;Bebida
Irreverente;Barón Pierre de Coubertin 44, Santiago, Región Metropolitana;Combo pasta;Fetuccini Natural, Pollo y Salsa Blanca, bebida a elección.
Pasta Basta;Isidora Goyenechea 2867, Las Condes;Gnocchi Pomodoro E Carne;ñoquis de papa con pomodoro, carne mechada y perejil picado.
Imperio Oriental;El Cohiue 3886, Vitacura;Pepsi Sin Azucar;Lata de 350ml
Arlecchino Pizzas;alférez real 919 providencia;Pantalone (Indiv);Pizza de masa a elección salsa de la casa, mozzarella, orégano, carne, cebolla caramelizada y champiñon.
In Huinchi;Avda Apoquindo 7498 Las Condes;Jugo Natural Guallarauco 252 ml;Jugo Natural Guallarauco 252 ml
Fajita Express;Las Urbinas 43 Providencia Región Metropolitana;Combo Burrito Italiano Pollo;Burrito Italiano pollo, papas fritas, bebida 350 ml
Capellán 8;Capellán Abarzúa 8, Santiago, Providencia, Región Metropolitana;Combo Campestre;Sándwich Campestre (Es picante con Filetitos de pollo y especias) + Bebida en Lata + Postre Del Día
MANTECADO;Vicuña Mackenna 596, Providencia;12 Galletas;Galletas con chips, chocolate o ret velvet.
Chili's;Andrés Bello 2425, Las Condes local 5128 5to piso;Kids Nuggets;5 Nuggets de pollo acompañados de papas fritas
China Wok;Av. Andres Bello N 2433 Local 5521;Bebida 1.5 Lts;Bebida de 1.5 lts.
Helados San Francisco;Av Larraín 5862, mall plaza egaña nivel 3 (al lado de Ripley);Dona o Berlina + Jugo o Bebida;Exquisita Dona o Berlina + Jugo Boca Ancha de Naranja (Botella vidrio 300 cc) o Bebida Lata 350 cc. Coca Cola (Original).
Ukiyo Sushi;Eyzaguirre 1180;Sushi Dog Pollo;Hot dog de pollo, palta, queso crema, cebollín y sésamo.
Kubiro Sushi Centro;santa elena 749, local 22 (llegando a 10 de Julio), Santiago;Hosomaki De Pollo;Roll delgado al estilo maki tempurizado de pollo. 10 pzs
Maskepan;Manuel Mont 398, providencia;Yogurt Fruta Granola;Yogurt con frutas y granola.
Tarragona;Avda. Independencia 585 Local FC02, Independencia;Salsa Tartara;Salsa a elección.
El Pollo Caballo;avenida larrain 6790, la reina;Combo Duo;12 Filetitos crispy, 6 aros de cebolla, 6 mozarella stick, 2 bebidas en lata 350 cc.
Trattoria Rita;Av Presidente Kennedy 5413, Las Condes, Vitacura, Región Metropolitana, Chile, Boulevard Parque Arauco, Local 369,;Pepsi Light 1.5 l;Bebida
Japo - Casa Carmencita;avenida IV Centenario 766, Las Condes, Chile;Avo Eby;Roll relleno con camarón furay y queso crema, envuelto en palta, topping camote en hilo,crema de tigre y emulsión de cilantro.
Teke Factory  Fabrica de Tequeños;Avenida Tobalaba 1589 (primer Piso), Providencia. Santiago;Salsa de Ajo Extra (2 Onzas);Salsa de ajo, cilantro y perejil.
Cocina de Kaleta;"Av. Pdte. Kennedy Nº5413, 
Las Condes";Pepsi Light 1.5 l;Bebida 1.5 lt.
La Burguesita by La Burguesía;Av Vitacura 1754, Vitacura, Región Metropolitana;RedBull Original 250 ml;Energética
Fu Lin;Santo Domingo 769, Santiago;Sprite 1.5 l;Bebida
Teclados;Av Vitacura 3917, Vitacura, Región Metropolitana;Vital con Gas 1.6 l;Agua
Buffet Express;Av. Andres Bello 2477, Local L-5538, Providencia;Cerveza Lata Heineken 350cc;Cerveza lata heineken
Pollo Stop Crispy;(SÁBADO Y DOMINGO ENTRAR POR ANDRES BELLOS LIBRERÍA ANTÁRTIDA) Avenida Andrés Bello 2425, Providencia, Región Metropolitana;3 Salsas;3 Salsas
Rico Espacio;Av. Apoquindo 6988, Las Condes, Región Metropolitana;Coca-Cola Original 1.5 l;Bebida
Lomito Alemán Ñuñoa;Avenida Grecia 3107 Ñuñoa;Tucan Criollo;Salmón, lechuga, tomate, cebolla morada.
Libanazo;av, nueva providencia 2034 , providencia;Pan Libanes 6 Unidades;Pan tipo pita.
Melt Pizzas;Callao 2912, Las Condes, Región Metropolitana, Chile;Dipbox 12 Cups Honey Mustard;Pack de 12 cups de honey mustard.
Pizza Nostra;Providencia 1975, Providencia;Waffers Bañados en Chocolate;Wafers bañados en chocolate, 7 ud.
Dony Doner;Avenida Providencia 1457, Providencia;Salsa Aceituna;Salsa aceituna
Rocoto;Av. Pedro de Valdivia 2573, Ñuñoa;Cubierto Biodegradable;Bambu o biodegradable
Katsumi Sushi & Ceviche;Monseñor Edwards 1638. local 2 la reina;Coca-Cola Original 350 ml;Bebida
Pizza Hut;Andrés Bello 2447 Providencia Región Metropolitana local Local 5513;Sprite Normal 350 Cc;Bebida gasificada
Churromania;Av. Providencia 2046 Providencia Región Metropolitana;Churro Bites;10 bocados rellenos con exquisitas salsas a elegir.
Apero;Avda Presidente Riesco 5330 local 101 B, Las Condes;Pepsi Normal 350ml.;Bebida en lata.
Sushi Blues;Andrés Bello 2425, Providencia. Nivel 5 Patio de Comidas;Gohan Furai;Gohan con arroz, pasta kanikama, cebollín, crispy tempura, base kanikama apanada, mix de sésamo.
Arepas Food and Shop Providencia;luis thayer ojeda 95, providencia;Benedictino con Gas 500 ml;Agua
Mamut;Av. Apoquindo 3038 Las Condes Región Metropolitana local 1;Agua Mineral Sin Gas;Agua mineral sin gas
Otto Pollo;Av. José Pedro Alessandri 1771, Ñuñoa, Región Metropolitana;1008 3 Empanaditas de Queso;3 empanaditas de queso
Milanos Pizza;Av. Manuel Montt 1481 Providencia Región Metropolitana;Salsa Bbq;Deliciosa salsa bbq.
Route 66;Isidora goyenechea 2960 las condes;Pepsi Light 310 ml;310 Ml.
Pedro Juan & Diego;Entrega en local Pollo Stop (SÁBADO Y DOMINGO ENTRAR POR ANDRES BELLOS LIBRERÍA ANTÁRTIDA) Andrés Bello 2447 Providencia Región Metropolitana local 5009;RedBull Original 250 ml;Energética
Pulpork-Original Pulled Pork;San Sebastián 2800, Las Condes;Galletón Red Velvet Cookie;1 uni de galletón red velvet 110gr
Dulcería Santa Elena;Av Vitacura 5480, Vitacura, Chile;Muffins de Nuez Zanahoria 150gr;Muffins de nuez zanahoria unidad.
El Sol Sublime;Príncipe de Gales 6580 La Reina Región Metropolitana;Inca Kola Sin Azúcar 300 ml;Gaseosa
La Pollería;Av. Pedro de Valdivia 2573, Ñuñoa, Región Metropolitana;Cubierto Biodegradable;Bambu o biodegradable
Taco Bell;Av. Nueva Providencia 2089 Providencia Región Metropolitana;Bebida Lata 350 Cc;Elige el sabor de tu bebida.
Do Sushi Artesanal;Av. Holanda 67, Providencia;Shibui Maki;Pepino, sakana, palta con salsa shibui y sriracha jikasei.
Santo Gohan;Bucarest 104 Providencia;Vital Sin Gas 330 ml;Agua
Waffles Belgas;Avenida Italia 1307;Combo Vegetariano y Bebida;Waffle palta, queso fundido y huevo frito.
Benvenutto;Vicuña Mackenna 276 Providencia Región Metropolitana;Prestigio Premium;Delicioso helado para compartir .
Rustik Cafetería de Especialidad;Av. Condell 1438, Providencia, Chile;Limonada Menta 13oz [390ml];Limonada natural más menta.
Vapiano;Providencia 1984, Providencia;Pizza Felicita;Pizza con papas, porotos, carne de soya, mozzarella vegana y un toque de hierbas.
Masala;Roberto Espinoza 718 Santiago Región Metropolitana;Cubierto Biodegradable;Bambu o biodegradable
Pollo Loco;Seminario 88 Providencia Región Metropolitana;Cubiertos Desechables;Tenedor y cuchillo de madera. cuchara de plástico reciclable
