RESTAURANT;DIRECCION;NOMBRE_PLATO;DESCRIPCION_PLATO
Dao Chinnese Food;Padre Alfredo Arteaga N°1949 - Local 1, Lo Barnechea;Menú 6 Personas;2 wantán, 1 arrollado primavera, 1 chapsui pollo, 1 especial, 1 diente dragón carne, 1 pollo piña, 1 pollo mongoliano, 1 carne mongol, 6 arroz chaufán.
La Antojería;Manquehue sur 1231;Pepsi Light 310 ml;Bebida
Lasdequeso;Av. las Condes 9280, Las Condes, Chile;Pepsi Original 350 ml;Bebida
Sow;Av. Padre Hurtado Sur 875, Las Condes, Chile;Champiñón Tempura;Sowhan champiñón tempura, arroz shari, palta, tomate cherry, cebollín, pepino, crispy y salsa fresh.
Trilogia Gourmet;Av. lo Barnechea 1672, Santiago, Lo Barnechea, Región Metropolitana, Chile;Hallacas Venezolanas;Hallaca venezolana caraqueñas, con todos sus juguetes. buen tamaño.
Kotobuki Sushi;Cam. El Huinganal 2042, Lo Barnechea, Región Metropolitana, Chile;Gohan Premium;Arroz, camarón, salmón, palta, philadelphia, cebollín, sesamo.
Seven Burger;Príncipe de Gales 9140, La Reina, Chile;Kunstmann Sin Alcohol 330 ml;Cerveza
Matt’s Burgers;Chesterton 7380, Las Condes, Chile;Sprite Zero 350 ml;Bebida
Milanga;Pedro de Gamboa 55;Agua Vital Sin Gas 600 ml;Agua
Fasfu Burgers;Av Vitacura 7125 (LOCAL ROOF BURGER), Vitacura, Chile;RedBull Original 250 ml;Energética
Fuente San Carlos;Cam. El Alba 12620, Las Condes, Chile;Vital con Gas 330 ml;Agua
La Cantina...;Cerro El Plomo 5630, Las Condes, Región Metropolitana, Chile;Papardelle a la Mantequilla;Cintas gruesas de pastas ahogadas en mantequilla y salvia, con un toque de queso parmesano. .
La Galletería;Chesterton 7637, Las Condes, Santiago, Chile;Lady Berry Sin Azúcar X1;De lady no tiene nada, porque es una bomba atómica pero sin azúcar!. un galletón con frambuesas frescas y chocolate blanco.
Sabrosushi Delivery;Av. Raúl Labbé 13097 C, Santiago, Lo Barnechea, Región Metropolitana, Chile;Sprite 350 ml;Bebida
Cineplanet;Av. La Dehesa 1526, Lo Barnechea, Región Metropolitana, Chile;Bebida;Bebida botella 500 ml.
Il Capo de Pizza y Sushi Bar;Río Jordán 228, Lo Barnechea, Chile;Combo 4 Burritos Mixto con Queso+beb 1.5;Recibe 4 burritos, rellenos 2 con hamburgesa a la plancha y 2 con churrasco adobado, todos con queso, y base de salsa bbq + bebida de 1,5 .
Lima Sushi;Paul Harris Sur 1291, Las Condes, Chile;Chocolate;Chocolate 12 oz.
