;Nombre Restaurant;URL RESTAURANT
79;Puerto Ceviche;https://www.rappi.cl/restaurantes/900025088-puerto-ceviche
80;Salvadora;https://www.rappi.cl/restaurantes/900026464-salvadora
81;Muu Steak;https://www.rappi.cl/restaurantes/900026748-muu-steak
82;Ramen One;https://www.rappi.cl/restaurantes/900030169-ramen-one
83;Pochito's Gastronomía Peruana;https://www.rappi.cl/restaurantes/900064748-pochitos-gastronomia-peruana
84;Doble Queso;https://www.rappi.cl/restaurantes/900070320-doble-queso
85;Get the wok.;https://www.rappi.cl/restaurantes/900014412-get-the-wok
86;Misotorino;https://www.rappi.cl/restaurantes/900015046-misotorino
87;Comida China Biyi;https://www.rappi.cl/restaurantes/900017278-comida-china-biyi
88;Fu Lin;https://www.rappi.cl/restaurantes/900017700-fu-lin
89;China Village;https://www.rappi.cl/restaurantes/900026045-china-village
90;Comida China Wynn;https://www.rappi.cl/restaurantes/900027075-comida-china-wynn
91;Furay Roll;https://www.rappi.cl/restaurantes/900027950-furay-roll
92;LongHui Comida China;https://www.rappi.cl/restaurantes/900032813-longhui-comida-china
93;Javier D'Angelo Kusina;https://www.rappi.cl/restaurantes/900038204-javier-dangelo-kusina
94;Yuzu Sushi;https://www.rappi.cl/restaurantes/900041438-yuzu-sushi
95;Sushimi;https://www.rappi.cl/restaurantes/900015152-sushimi
96;Pasta Basta;https://www.rappi.cl/restaurantes/900016422-pasta-basta
97;Kitai Sushi;https://www.rappi.cl/restaurantes/900017793-kitai-sushi
98;Xiong Chang Comida China;https://www.rappi.cl/restaurantes/900018593-xiong-chang-comida-china
99;Restaurant Lima;https://www.rappi.cl/restaurantes/900019186-restaurant-lima
100;Comida China Hai Li;https://www.rappi.cl/restaurantes/900026585-comida-china-hai-li
101;Alaska Sushi Fusión;https://www.rappi.cl/restaurantes/900027774-alaska-sushi-fusion
102;I-Ching;https://www.rappi.cl/restaurantes/900028309-i-ching
103;Restaurant Junio;https://www.rappi.cl/restaurantes/900029996-restaurant-junio
104;Xin Hua;https://www.rappi.cl/restaurantes/900030325-xin-hua
105;Katsumi Sushi;https://www.rappi.cl/restaurantes/900032905-katsumi-sushi
106;Pollo Chang;https://www.rappi.cl/restaurantes/900035535-pollo-chang
107;Long Wei;https://www.rappi.cl/restaurantes/900035646-long-wei
108;Yashiro Sushi;https://www.rappi.cl/restaurantes/900057133-yashiro-sushi
109;Yonaguni Sushi;https://www.rappi.cl/restaurantes/900078254-yonaguni-sushi
110;Pisco y Sabor;https://www.rappi.cl/restaurantes/900015089-pisco-y-sabor
111;El Aguaruna;https://www.rappi.cl/restaurantes/900015208-el-aguaruna
112;Tokyoto sushi merced;https://www.rappi.cl/restaurantes/900015755-tokyoto-sushi-merced
113;Yun ho;https://www.rappi.cl/restaurantes/900016983-yun-ho
114;Teclados;https://www.rappi.cl/restaurantes/900017779-teclados
115;All Rice Food;https://www.rappi.cl/restaurantes/900017856-all-rice-food
116;Ying Feng Peñalolén;https://www.rappi.cl/restaurantes/900018583-ying-feng-penalolen
117;Route 66;https://www.rappi.cl/restaurantes/900019834-route-66
118;Sushi Delivery;https://www.rappi.cl/restaurantes/900022903-sushi-delivery
119;Karai Sushi;https://www.rappi.cl/restaurantes/900023309-karai-sushi
120;El Palacio del Poroto con Rienda;https://www.rappi.cl/restaurantes/900028362-el-palacio-del-poroto-con-rienda
